anchor,entailment,contradiction
加大对中西部地区新型城镇化的支持,中西部地区正在实行新型城镇化,中西部地区还未开始实行新型城镇化
"加强民主法制建设,维护国家安全和社会稳定",民主法制建设需要加强,民主法制建设还未开展
"加强社会治安防控体系建设,开展反分裂、反恐怖斗争,维护了国家安全和社会稳定",国家安全和社会稳定还需大力维护,开展反分裂、反恐怖斗争无益
"发展乡镇企业是农村奔小康的必由之路,要继续支持乡镇企业尤其是中西部地区乡镇企业的发展",发展乡镇企业是农村奔小康的必由之路,发展乡镇企业对农村奔小康无益
"发展农产品加工业等农村非农产业,壮大县域经济",农产品加工业是农村非农产业,壮大县域经济不需要发展农村非农产业
"另一方面,当前必须强调在抓好环境质量监测的同时要重点开展污染源的监督监测",抓好环境质量监测和重点开展污染源的监督监测要同时进行,环境质量监测无关紧要
"只因为我没在现场,所以我不会去下这个判断,到底是",我没在现场,我在现场
"各级政府要一如既往关心支持国防和军队建设,密切鱼水情谊,使军政军民团结坚如磐石",各级政府一直关心支持国防和军队建设,各级政府从来不关心支持国防和军队建设
"后来,王琦瑶也到蒋丽莉家去过",王琦瑶去过蒋丽莉家,王琦瑶从来没去过蒋丽莉家
"哦,没有,他,他,他来了五口了.",他来了五口了,他还没有来
坚持不懈地开展爱国主义、集体主义和社会主义教育,坚持不懈地开展爱国主义、集体主义和社会主义教育,爱国主义、集体主义和社会主义教育无需开展
"坚持实施稳健的货币政策,引导金融支持实体经济",坚持实施稳健的货币政策,实体经济停滞不发展
"坚持放管并重,建立纵横联动协同管理机制,实现责任和权力同步下放、放活和监管同步到位","坚持放管并重,建立纵横联动协同管理机制有利于实现责任和权力同步下放、放活和监管同步到位",无法实现责任和权力同步下放、放活和监管同步到位
"她们白得透明似的,看得见淡蓝经脉",她们白得透明,她们很黑
"好几次她们觉得挡了别人的路,忙着让开,不料却撞到另一人的身上",好几次她们都忙着让路,她们不喜欢给别人让路
"完善基本养老保险制度,继续开展做实个人账户试点,全面推进省级统筹",基本养老保险制度需要完善,基本养老保险制度还未制定
"客厅里人不多,且都在说自己的话",客厅里的人在说自己的话,客厅里挤满了人
"小平同志多次强调发展才是硬道理,这是千真万确的真理,我们要深刻领会,坚决贯彻",发展才是硬道理是千真万确的真理,发展才是硬道理不是真理
"巩固和加强农业基础地位,促进农业稳定发展和农民持续增收",促进农业稳定发展和农民持续增收需要巩固和加强农业基础地位,农业稳定发展和农民持续增收无法实现
"已是临近过年,人们都在置办年货,马路上更添几分熙攘,与他也是隔岸的火似的,无子无系",现在正临近过年,马路上人烟稀少
廉政建设和反腐败工作取得新成效,廉政建设和反腐败工作取得新成效,廉政建设和反腐败工作未取得任何成效
"我们真的是竭尽全力,他来的很突然,我们还到邻居家借了鸡蛋之类的,还没够吃",我们到邻居家借了鸡蛋,我们没去邻居家借东西
"我们要像对贫困宣战一样,坚决向污染宣战",我们已对贫困宣战,我们不要向污染宣战
"我去看摇滚月的时候相对来讲没有那么狂热,但是也会跟着起码唱唱、拍拍手还是有的",我去看摇滚月的时候会跟着唱唱、拍拍手,我没去看过摇滚月
我就去这样不是更好一些吗.,我就去这样更好一些,我就去这样不好
"我觉得要是我,我可能把孩子抱离座位到走廊或者是过道去哄他",有个孩子需要哄,我不会哄孩子
"接着就戗到了小林跟前,眼里噙着泪,胸部一挺一挺的,脸变得没有血色",小林眼里噙着泪,小林很开心
"有些人,人家对于来,呃.",有些人,没有人
"楼梯扶手可千万别碰,几十年的灰尘在上面",楼梯扶手上有几十年的灰尘,楼梯扶手很干净
"每到休息时,铸造厂汽水站就被大汗淋漓的翻砂工围个水泄不通",铸造厂汽水站有很多翻砂工,铸造厂汽水站没有工人
"沈太福许出了高达24%的年息,他究竟有没有能力兑现呢",沈太福许出了高达24%的年息,沈太福未许出过高达24%的年息
"甚至她的强是在于哪里,她似乎流露出她怜悯这个如夫人,她不是说在仇富,她瞧不起她",她瞧不起如夫人,她在仇富
科技竞争说到底是人才的竞争,科技竞争的本质是人才竞争,科技竞争与人才竞争无关
"考虑人们的心理承受力,对改革步骤保持积极审慎的态度是十分必要的",考虑人们的心理承受力十分必要,不必考虑人们的心理承受力
"要是有两个人坐在一处说话,便扰着你的言语","要是有两个人坐在一处说话,便扰着你的言语","要是有两个人坐在一处说话,也不会扰着你的言语"
"谁又能想象,身手矫健的运动员们又将在未来创造如何的记录",运动员们身手矫健,运动员们很迟钝
这个公司很可能叫怎么说呢,这个公司很可能叫怎么说呢,这个公司没有名字
这说的像是我的知识结构,这说的像是我的知识结构,这不像是我的知识结构
"邬桥的真实和虚空,邬桥的情和理,灵和肉,全在这水华声中,它是恒古的声音",这水华声是恒古的声音,邬桥下没有水
"麦当劳天津分公司,这叫助理,见习经理.",麦当劳在天津有分公司,麦当劳在天津没有分公司
"也是暮色将临,有最后的几线阳光,依依难舍的表情",太阳快要落山了,太阳将要升起
"也罢,清风明月皆吾客",清风明月都是我的客人,清风明月与我无关
"他为什么敏感,他一个人又思念家,又回不去,他说这边一落叶,我就想我们家乡那边落叶没有,它是不一样的",他不在家乡,他在家乡
"他们早上来,晚饭后才走,生活恢复了常规",他们的生活恢复了正常,他们没吃晚饭就走
他对自己说:我应该怎么办,他在问自己应该怎么办,他在问别人他该怎么办
"会不会将来人类的智能,或者人类的科技到了一个,他们生活的是在那样一个像美剧《西部世界》里的世界",美剧《西部世界》里的世界不是现在的世界,美剧《西部世界》里的世界就是现在的世界
"但什么事情都有一个过程,时间一长,小林和小林老婆就把这事看得轻了",小林和小林老婆已经把这事看轻了,小林和小林老婆还没把这事看轻
你是比较喜欢跟川普待着是吗,你可能比较喜欢跟川普待着,你一定特别讨厌川普
你还不算违法与不违法之间的事,你不算违法与不违法之间的事,你算违法与不违法之间的事
促进农业和农村经济全面发展,农业和农村经济发展得到了促进,农业和农村经济发展停滞不前
"其中当然有分门别类,穆斯林事件这是另一个话题,咱们不谈",我们不谈穆斯林事件,这其中没有分门别类
到底是前面好看还是这个好看,前面和这个其中有一个好看,后面好看
"又对了梳妆桌上的镜子说:这也是老货,一点不走样的",梳妆桌上有一面镜子,梳妆桌上的镜子走样了
"各项改革措施要有利于增强消费者信心,形成良好的消费预期,增加即期消费",各项改革措施有利,改革措施百害而无一利
"同时跑来的那位不知名的小伙子窜上来抱起孩子,喊住一辆过路汽车,直奔医院",一个不知名的小伙子抱起孩子直奔医院,孩子的妈妈抱着孩子直奔医院
"哎,他不干啦,听老董说了.",听老董说他不干了,他还在干
"因为你做生意嘛,你就做做跟你这.",你是做生意的,你是公司白领
"因为有理学嘛,我们一想到宋代的理学",宋代有理学,宋代没有理学
"在党政机关办的24187个公司中,已有近两万个撤并或同机关脱钩,约占80%",党政机关办有24187个公司,党政机关办的24187个公司都没有撤并或同机关脱钩
"在夏商周三代的时候,是什么意思呢",夏商周是三个朝代,在夏商周三代的时候没有什么意思
坚决打击坑农、害农的违法经营活动,坑农、害农的违法经营活动需要坚决打击,坑农、害农的违法经营活动要支持
"大力发展现代流通、旅游、中介服务等第三产业,逐步提高其在国民经济中的比重",第三产业在国民经济中的比重正逐步提高,第三产业在国民经济中的比重正逐步降低
"天亮时,它们才渐渐收了尾音,露水下来了",天亮时露水滴下来了,天还没亮露水就下来了
"她慢慢走到后面,化妆间依然在,镜子却模糊了,映出的人有些绰约,看不清年纪的",镜子很模糊,化妆间看不见了
"对,只能平衡,于是是他们把这个情报",有一个情报,不用平衡
"对,它有阳光的角度问题嘛",阳光的角度问题有影响,阳光的角度问题无关紧要
"对,还是要相信人民,人民爱看,这谁都没辙",要相信人民的眼光,不能相信人民
"忽听窗下弄堂里嘈杂声起,便推窗望去,原来是谁家在鸡窝里抓住一只黄鼠狼",有人在鸡窝里抓住一只黄鼠狼,黄鼠狼吃完鸡逃走了
"我念给你们听,就这个意思.",我把这个念给你们听,我不会念书
"推进长三角地区经济一体化,深化泛珠三角区域经济合作,加强环渤海及京津冀地区协同发展",环渤海及京津冀地区可以协同发展,环渤海及京津冀地区经济发展停滞不前
有一部分同学是来北京游玩的,部分同学来北京游玩,所有同学都是来北京念书的
正在发愁的时候你传来的话题说要谈论多少个亿的话题,你在我正发愁的时候传来话题,你在我正有灵感的时候传来话题
火线双娇那是辣椒吧,火线双娇是辣椒,火线双娇不是辣椒
"王琦瑶家的地板下面,夜夜是有老鼠出没的,为了灭鼠抱来一只猫,房间里便有了淡淡的猫臊臭的",王琦瑶家的地板下面有老鼠,房间里充斥着花香味
用了你以前的地址呢.,用了你以前的地址,用了你现在的地址
继续完善社会救助制度,社会救助制度还需继续完善,社会救助制度还未建立
"继续深化企业劳动人事制度和分配制度改革,完善内部机制,增强企业活力",企业劳动人事制度和分配制度改革还需继续深化,企业活力不需要增强
"能出国,他要我们给他买机票.",他不想自己买机票,他要自己买机票
"自去年参院选举被在野党夺得参院主导权后,自民党在国会通过法案已不如过去那么容易",自民党在国会通过法案比过去困难,自民党在国会通过法案比过去容易
"表哥的步子也迈得很快,有要紧事去做似的",表哥走的很快,表哥很悠闲
要有一个你将来打算在加拿大做什么东西.,你将来会在加拿大,你永远不会去加拿大
"这一个下午,谁也没出去玩",这一下午大家都没出去玩,这一下午大家都在外面玩
"这场涉及到家家户户切身利益的重大改革,深深牵动着每个职工和家属的心",这是一场涉及到大家切身利益的重大改革,这场改革去大家的利益无关
"那儿,杂草丛生,荒冢遍野,村民的祖先都长眠在这里",那儿有很多杂草和荒冢,那儿一片生机
"雄风今乍起,英姿自成歌",英姿飒爽自成一首赞歌,萎靡不振自成歌
"8日,被洪水包围的灵石中学曾有870人断粮",灵石中学被洪水包围了,灵石中学里没有人
"一旦使用这种核武器,西德将首当其冲",西德会成为该种核武器的首要攻击对象,西德不会成为该种核武器的攻击对象
"三是为国家输送了体育后备人才,为地方争得了荣誉",为国家输送了体育后备人才的同时也为地方争得了荣誉,国家不需要体育后备人才
"不像你们科学家先搞清楚到底是怎么回事,但是好像大家都很着急表态、很着急骂人",科学家要先搞清楚到底是怎么回事,科学家很着急表态
"不是,你要是没有答应.",你要是没答应,你要是答应了
"不用寄去,你就放在那儿吧.",你不用寄去,你要寄去
"不知不觉在井下已有1个多小时,有人劝他可以上井了,他摆摆手说:别急,让我多走走,和工人多谈谈",他在井下已有一个多小时,他准备上井了
"为了人民的身心健康和家庭幸福,我们一定要坚定不移推进医改,用中国式办法解决好这个世界性难题",医改是一个世界性难题,医改不是难题
乌烟瘴气笼罩了城市的街道里巷,城市的街道里巷被乌烟瘴气笼罩着,城市的空气很好
"今后上新的基本建设项目,不能搞无本投资,要有一定比例的资本金",今后上新的基本建设项目要有一定比例的资本金,今后上新的基本建设项目要搞无本投资
以公正监管促进公平竞争,公正监管可以促进公平竞争,公正监管无法促进公平竞争
"会议室里,烟雾更加弥漫,气氛愈见沉闷……",会议室里的气氛很沉闷,会议室里的气氛很欢快
"你就比如说她坐飞机这个事情,说白了飞机的死亡率是特别低的,但是你要是一个人",飞机的死亡率很低,飞机的死亡率很高
"再说,他就是早起了又能上哪儿去",他就是早起了也不知道上哪儿去,他早起跑步
农民高兴地说:咱田头也有了招手停,农民很高兴田头也有了招手停,田头还没有招手停
"可是长毛狗、哈巴狗以及各种憨态可掬的狗们,照样在人们的脚下跑来跑去,这又是法规的悲哀",各种憨态可掬的狗们在人们的脚下跑来跑去,各种狗们不敢在人们的脚下跑来跑去
"听起来就跟,第一个无上高论,第二个很好玩就是想象力,什么爱吃就是口腔期",第二个很好玩很有想象力,第二个很无趣
"在你你爸那封信上面,小姨,小姨.",你爸有一封信,你爸没有信
地方政府又不是都是国民党执政的,地方政府不是都是国民党执政,地方政府全都是国民党执政
"大力整顿和规范市场秩序,继续开展专项整治,严厉打击制售假冒伪劣行为",制售假冒伪劣行为要严厉打击,制售假冒伪劣行为不必打击
奶奶信仰在中原特别兴盛 香火旺不旺取决于灵不灵,奶奶相信香火旺不旺取决于灵不灵,奶奶没有信仰
她比如回去待一年什么.,她可以回去待一年,她不能回去
如何带好这些娇兵,要带好这些娇兵,这些是骁勇善战的兵
"如果依法办理申请手续,沈太福就不能以假技术合同的非法活动来骗人了",沈太福以假技术合同的非法活动来骗人,沈太福依法办理了申请手续
"对,他就是说五块,说为什么多一块,他说我说几块就几块",他说五块,他不同意我说几块就几块
"就是他看着你,但是你感觉他还在琢磨别的事儿",他看着你的时候你感觉他在琢磨别的事儿,他看着你的时候你感觉他在发呆
"当天黑下来,灯亮起来的时分,这些点和线都是有光的,在那光后面,大片大片的暗,便是上海的弄堂了",上海的弄堂是大片大片的暗,上海的弄堂很光亮
我就觉得你们省省吧,我觉得你们省省吧,我觉得你们该多花点时间
"我问他一下,他说的学区不变.",他说学区不变,他说学区要变
"早年好像还有两三套房子,现在到了老年,把那两三套房子也都是转手了",到了老年把房子都转手了,早年房子就转手了
"李主任松开手,轻轻说了句:真是个孩子",李主任松开了手,李主任握着手说真是个孩子
柬埔寨抵抗力量在西部战场打出一片根据地和游击区,西部战场被打出了一片根据地和游击区,西部战场没有根据地和游击区
"欧洲局势的急剧变化,德国统一步伐的加快,是促成这次会议的直接原因",德国统一步伐正在加快,欧洲局势的急剧变化与这次会议无关
"治世不一道,便国不必法古",治理国家不只有一种方法,治理国家一定要效仿古人
环境文化决不可小视,要重视环境文化,环境文化无关紧要
社会主义经济发展与精神文明建设是同步的,社会主义经济发展与精神文明建设同步进行,社会主义经济发展与精神文明建设不同步进行
"积极发展以铁路为重点的综合交通运输体系,努力提高运输系统的综合效率",积极发展的综合交通运输体系以铁路为重点,铁路运输不重要
"程先生的心全在王琦瑶身上,可惜分不出嘴去,又不敢送出目光去",程先生不敢向王琦瑶送出目光去,程先生很讨厌王琦瑶
"董其昌说,不恨我不见古人,恨古人不见我,我写这么好古代人都没见过太可惜了",董其昌觉得自己写的很好,董其昌恨自己不见古人
"薇薇称不上是好看,虽然继承了王琦瑶的眉眼,可那类眉眼是要有风韵和情味作底的,否则便是平淡无趣了",薇薇继承了王琦瑶的眉眼,薇薇很好看
"要深化改革,健全制度,完善监督制约机制,从源头上、机制上、制度上预防和治理腐败",要从各方面预防和治理腐败,不需要预防和治理腐败
"过桥行船,走路跨坎,是召唤的召唤",走路要跨坎,走路不用跨坎
"这一个夜晚事后想来是不同寻常,天格外的黑,格外的静,桂花糖的梆子,一记没敲,百乐门的歌舞声也僵息着",这是个不同寻常的夜晚,这个夜晚同往常一样
"那么热的天捆个石膏,你想多难受.",天气很热,天气很冷
"那里面藏着黑压压的梦魔,只有一个灵魂是清醒的,那就是长脚",只有长脚的灵魂是清醒的,那里面没有清醒的灵魂
"酒精灯灭着,有一些气味散发开来,清爽凛冽的感觉",酒精灯灭了,酒精灯还亮着
"《环球时报》指出,他这次回来主要是荣誉,主要是一份爱国心,不是为了钱,这个我也非常相信",我相信他这次回来不是为了钱,他一点也不爱国
"一年来组织各种地方戏曲汇演和优秀剧目的巡演,抵制高价演出和低劣演出,大力扶持优秀剧目和优秀演员",一年来戏剧汇演和优秀剧目价格合理、井然有序地举行汇演,"巡演的目的不是为了抵制高价演出和低劣演出,大力扶持优秀剧目和优秀演员"
"不是,但是前一阵,那时候老聂到我们这儿都聊过,连下五六十局",我们和老聂聊过天,我们从未和老聂聊过天、下过棋
"中央财政全年用于教育、卫生、科技、文化、体育事业的支出达855亿元,比上年增长12.4%",中央财政全年用于教育、卫生、科技、文化、体育事业的支出比起去年增加了,中央财政全年用于教育、卫生、科技、文化、体育事业的支出没有超过800亿元
他们应该到《人民的名义》剧组去查,有一个剧组的名字是《人民的名义》,没有人要去《人民的名义》剧组调查事情
"他能够抵制花花世界的诱惑,集中精力做好本职工作,俯首甘为孺子牛,全力当好勤务员",他是一个勤勤恳恳的勤务员,他做事很不踏实
"他里面讲到一段,他说他想讲王石和田朴珺的事儿,他说他是怎么来思考这件事情",他知道王石和田朴珺的事儿并将给了别人听,他从来不在乎王石和田朴珺的事儿
"但是你看今天的社会,二十年间发生了很大的变化",今天的社会和二十年前的相比不一样,今天的社会和二十年前的社会在各个方面差不太多
但是现在看这个稿子有点辣眼睛,这个稿子从某方面讲很独特,以前看这篇稿子也是很辣眼睛
"但是那个菜就浪费了嘛,实际上是蒸煮炖了很多遍",菜是蒸煮炖了很久很久,那个菜一点都没有被浪费
你现在身体没有你走的时候胖了.,你没有之前胖了,你现在变胖了
"你看我们中国人以前我们要分析这种事情的时候,我们倾向于怎么看",我们是中国人,"我们中国人以前我们要分析这种事情的时候,我们倾向于怎么做"
"你知道他把车停在剧场广场上,最后他把车停在台阶上,架上去了",他开过车,他没有把车停在剧场广场台阶上去过
再后来连每月数十万元的租金都难以付出,后来每月的租金有数十万元,我们完全可以承担得起租金
"前天还给我打电话嘞,她没提这事.",她给我打了电话,她在前天的电话里和我说了这件事
"加快建立健全矿产资源有偿使用制度和生态补偿机制,积极开展排污权交易试点",我们想要努力通过一些制度和机制保护环境,我们并不打算开展排污权交易试点
"发展对外文化合作与交流,在汲取世界各国文明成果的同时,积极向世界介绍中华民族的优秀文化",中华民族的文化是优秀的文化,"我们应该排斥世界各国文明成果,只发展自己本国的文化"
"可能丢了个戒指还是丢了个什么,就是说这个怀疑到她了,怀疑到她她不承认,不承认说报警,公安来吧",她受到了怀疑,她承认偷了戒指
"同时,在新棉上市时适当提高棉花收购价格",棉花收购价格受到新棉上市的影响,棉花收购价格在新棉上市时会下跌
"呀,,对,对啊,对啊.",说话人认为这是对的,说话人认为这是对错的
"喝了三天下来,他就不太好.",他喝了很多酒,"喝了很多酒后,他依然感觉很好"
"嗯,他说反正:近几年,他不会回来了.",他说近几年他不会回来了,他想马上回来
"在新的一年,我们要继续坚定不移地执行“和平统一国两制”的方针,积极推进祖国统一大业",“和平统一国两制”使我国的方针,祖国统一大业毫无进展
基层民主制度进一步健全,(我国)已有基层民主制,基层民主制度并没有能到发展
"基本法草案规定,未来的特别行政区不实行社会主义制度和政策,保持原有的资本主义制度和生活方式五十年不变",特别行政区未来五十年不会是社会主义制度,特别行政区推行过社会主义制度了
"她们怀着最沉痛的怜悯之情,围坐在蒋丽莉卧房的外间,偶尔低语交谈几句",她们的心情并不愉快,"他们围坐在蒋丽莉卧房的外间,一言不发,一声不吭"
"完善促进就业、以创业带动就业的政策,落实最低工资制度",最低工资制度已经计划运行了,我们没有就业、以创业带动就业的政策
开展新型农村合作医疗制度和医疗救助制度试点,有一项新的政策叫新型农村合作医疗制度和医疗救助制度试点,这项新政策并不是关于医疗改革的
"必须切实防止和坚决纠正廉价出售甚至侵吞国家财产,以及变相扩大消费基金等错误做法","廉价出售甚至侵吞国家财产,以及变相扩大消费基金等做法是错误的","没有人要防止、纠正廉价出售甚至侵吞国家财产,以及变相扩大消费基金等错误做法"
想办法就弄弄回来一套自个装上.,现在还没有这么一套(装备或衣服),这么一套(装备或衣服)有人会帮忙装上
成功举办北京奥运会、残奥会,北京举办过奥运会、残奥会,北京奥运会、残奥会很失败
"我就当呃,首席代表了.",我是首席代表,没有人当首席代表
"我说我钱学森呐,现在,我是劳动人民的一分子了,而且我与劳动人民中最先进的分子连夜一起了",钱学森认为他现在是劳动人民的一分子了,钱学森不认为他与劳动人民最先进的分子紧密联系
"撑船的老大是昆山人,会唱几句昆山调,这昆山调此时此刻听来,倒是增添凄凉的",撑船的老大会唱几句昆山调,撑船的老大唱的昆山调使人心情愉悦
"改革完善县级基本财力保障机制,缓解困难地区财政运转压力,决不让基本民生保障出问题",国家重视民生保障问题,县级基本财力保障机制并未建立起来并且困难地区没有财政运转压力
新华社记者郭礼华姜微,新华社有记者,郭礼华姜微从来不是新华社记者
"晚间,记者打电话询问今天预订火车票的情况",晚上记者有打电话,昨天晚上没有人问关于火车票的事情
有一个新闻是有一个少年一天自慰了四十多次死了,一个少年因为自慰死了,这个死亡的少年从未自慰过
"有时,他就会伺机报复一下,当然,还是温柔的,引不起一点警惕",他会要报复,人人都知道他要伺机报复
"炊烟一层浓似一层,木树声也一阵紧似一阵,全在作欢迎状的",有风吹拂着树木,树林里没有房子也没有人生火
"肯定不是有意的,告诉你.",说话人想让“你”相信某人做某事不是故意的,某人做某事是故意的
"至今年2月,已先后进行6轮",有6轮已经结束,如今是1月份
"还有砖地上爬行的蚂蚁,泥里的蚯蚓,都是他的伙伴,他还隐约记着那时的快乐",他曾经很快乐,我从未见过蚂蚁和蚯蚓
那为什么不说武大呢,(有人)提议要说一说武大,没有人提到武大
"那我想是这样,但是我想大概过.",我有自己的想法,我有很明确的想法
(廉江县委书记郑流:,郑流是县委书记,郑流是村委书记
"三个人他是排着排推,他推着你,你推着他",三个人有肢体接触,三个人互不干涉
"上海的天空都叫霓虹灯给映红了,自家屋里终是一盏孤灯,一架前南咯咯的钟,数着年华似的",上海的天空下有许多霓虹灯,自家屋里的灯从未亮起
"他们把记者的证件输入电脑,屏幕上立即显示出记者本人的资料和尊容",记者都拥有证件,记者的资料与证件无关
他现在这一段时间涨了将近百分之六十.,他现在这一段时间有在涨,他是一成不变的
"以义务教育、公共卫生和基层文化建设为重点,促进社会事业发展",义务教育建设是促进社会事业发展的重点,基层文化不需要得到建设
"你有空,你跟他们写两封信啊.",你会写信,我不想让你给他们写信
"你说不上它们是建设,还是破坏,但这手笔却是大手笔",它们是大手笔,它们没有做出出格的事情来
"像这样有老虎天窗的弄堂,也是有些不同凡响的心曲,那硬是被挤压出来的,老虎天窗就是它的歌喉",老虎天窗是弄堂的歌喉,弄堂都没有天窗
"全力举办了有特色、高水平的北京奥运会、残奥会,实现了中华民族的百年梦想",北京奥运会实现了中华民族的一个梦想,北京奥运会没有特色
"六年前初创时注册资金仅200元的南京高能计算机研究所,如今固定资产增加一万倍,人均创利润达七万余元",南京高能计算机研究所注册资金仅200元,南京高能计算机研究所现在倒闭了
"再看王琦瑶,眼前便有些发虚,焦点没对准似的,恍炮间,他看见了三十多年前的那个影",王琦瑶是被看的那个人,王琦瑶未成年
"到今年8月,整个电视塔将向世人亮相",电视塔会向世人亮相,电视塔不允许亮相
"加快新药审评审批改革,17种抗癌药大幅降价并纳入国家医保目录",抗癌药至少有17种,抗癌药不在国家医保目录内
厂里的年轻人劲头可足哩,厂里有年轻人,年轻人们劲头都不足
"可这件小玩艺儿一加,神了",这件小玩意儿锦上添花,小玩意儿不适合加上去
各级政府都要增加对“三农”的投入,“三农”的投入会增加,政府并没有分级
"吴佩珍又说:我本来想把信投在这里的,结果却自己送来了",吴佩珍会说话,吴佩珍不会送信
呃你变你这次回来要花费很大的呐.,你回来有花费,你从没有回来过
"啊,行了,行了你不能再,不能.",你不能再这样做,我同意你的做法
在场的县、乡干部们深深被这场面感染着,这场面感染着一些人,在场的没有县干部
"坚持社会统筹与个人账户相结合,完善职工基本养老保险制度",职工有基本养老保险制度,职工没有基本的保险制度
大多数城市建立了居民最低生活保障制度,有些城市还没建立居民最低生活保障制度,居民最低生活保障制度还未建立过
"孙越没有碰没有碰见过他,是吧.",孙越没有碰见过他,孙越碰见过他
"就是现在还,还有没有这个东西.",现在不知道有没有这个东西,这个东西从来不会有
"必须坚持财政收支基本平衡的原则,逐步减少财政赤字",财政赤字是不好的事情,财政收支基本平衡不必保持
我们愿意同东欧国家在和平共处五项原则的基础上继续发展各方面的关系,我们同意和平共处五项原则,我们不愿意和东欧国家发展关系
"我呢,赶快就给你回了一封信.",你给我写了信,我从不回信
"我国是统一的多民族国家,各民族都是中华民族的平等一员",我国是多民族国家,各民族不平等
我是真觉得挺了不起的,我感到敬佩,我赶到嗤之以鼻
"抬眼望望四周,一盏电灯在屋里似乎不是投下亮,而是投下暗,影比光多",一盏电灯可以投下亮,电灯不会投下暗
"据报道,阿夫里尔在宣布取消戒严时并未谈到是否取消新闻检查和让流亡国外的政治领导人回国",阿夫里尔宣布了取消戒严,流亡国外的政治领导人已经回国
"据熟悉内情的同志介绍,他俩确实彼此尊重,彼此理解,互相通气,互相商量,达到了心心相印的程度",他俩互相认识,他俩经常意见不合
"收拾衣服、枕头、吃饭的碗和勺子、喝水的杯子、揩鼻涕的手绢,像送儿出征一样",手绢是用来擦鼻涕的,收拾的东西里面没有生活用品
比较比较是不是一个飞机.,比较的至少有两架飞机,比较的不是飞机
"炒了点剩饭给孩子吃,自己坐着钩羊毛风雪帽",孩子吃了剩饭,我没有孩子
"炭盆里的火本是为了驱散那阴霾,不料却也叫阴霾压得喘不过气来,晦晦涩涩地明灭着",炭盆里的火明灭着,炭盆里全是水
"王琦瑶身上的衣服,是橱窗里的时装的心",一些时装装在橱窗里,王琦瑶穿着朴素
"电扇我们多少年都没开,今年开了开.",电扇今年开过,电扇已经坏了
"穿过甫道,到了大门口,她说:毛毛娘舅你进去,外面这样的冷",外面很冷,外面温度很高
第二部 二、外婆,第二部讲的是关于外婆的事情,这部小说没有第二部
这个郭老师那个儿子呀.,郭老师有儿子,郭老师没有儿子
这也是专为王琦瑶起的称呼,王琦瑶有称呼,没人给王琦瑶起称呼
"通过提高建设和管理水平,让我们的城镇各具特色、宜业宜居,更加充满活力",城镇现在已经有些活力,我们的城镇以后不会适合居住
"那个是一个公园嘛,白洋淀嘛水上嘛,它是一个水族馆",那个公园是水族馆,那个水族馆不是公园
"部分国有企业经营困难加剧,多年积累的金融风险不容忽视",金融风险已经积累到了一定程度,金融风险不必在意
阿米尔汗应该这么读,阿米尔汗有正确的读音,阿米尔汗没有标准读音
"4月26日18点37分,青海海南藏族自治州塘格木、河卡一带发生6.9级强烈地震",青海发生过地震,青海不会发生地震
"6月13日下午,我从武昌汉阳门码头乘轮渡过江到汉口王家巷",武昌汉阳门有码头,武昌没有能过江的轮渡
"一切地方、部门和单位,都要顾全大局,牢固树立局部利益服从全局利益的观念",局部利益服从全局利益是一种观念,一切地方都需要树立全局利益服从局部利益的观念
"不一会,邓小平同志出现了",邓小平是同志,没有任何同志出现
人类即将进入21世纪,21世纪还没到来,人类已经在22世纪
"从国内形势看,改革开放已在中国大地上全方位展开,竞争态势咄咄逼人",中国实行了改革开放,改革开放全部都是缺点
"他对邬桥的女人看都不看一眼,和男人也不打拢,一个人躲在房里看书",他想要一个人看书,他是文盲
"他把韩村的代表请上表彰大会的主席台,号召全县学习他们的精神",韩村的代表的精神值得学习,韩村的代表是个坏人
"他的自行车无声地停在王琦瑶的后门口,然后摸出钥匙开了后门",他有一辆自行车,他不会开门
"他这个人可能有那么样的一种对怪力乱神或者形而上的,或者对宇宙的奥秘的,对上帝存在的这种好奇或者追究",他这个人有对一些东西的好奇和追究,他这个人没什么钻研追究的热情
"但是意大利男人也这样,就喜欢赖在家里,有妈妈给他去煮饭,就赖在家里,他不喜欢出去找女朋友",意大利男人不喜欢找女朋友,意大利男人都喜欢出门
"你不能这样讲,你不能这样讲.",你说错了话,我同意你的看法
全局8万名职工怀着十分焦虑的心情在思考:中原油田还有没有潜力,全局有8万名职工,全局8万名职工都很开心
"冲一下,冲一冲,冲一冲,就冲出来了",冲可能需要很多下,不需要冲就可以出来
"到今年7月召开西方国家首脑会议前,日美间必须处理的这类问题就达十几项",日美之间存在许多问题,今年印度会参加西方国家首脑会议
"去年,还签署了内地与香港、内地与澳门建立更紧密经贸关系的安排,增强了内地与港澳的经贸联系",内地与港澳签署了一些安排,内地与港澳没有经贸联系
"只是由于技术落后,管理粗放,长期以来果树株产低,果品质量差",果树带来的收入不好,技术落后不是造成果树产量低、质量差的原因
"各级政府要顾全大局,确保改革方案顺利实施",各级政府都知晓改革方案,改革方案可以失败
"合理调整投资与消费的关系,是今年宏观调控的重要方面",投资与消费需要调控,宏观调控不需要制定重要方面
"哎,这个半个小时左右.",这个不需要好几个小时,这个需要一年
"啊,其实不打电话也放心,没事.",打电话不影响情况,不打电话不放心
"因为只有从这爱里,才可着手去接近王琦瑶,其余都是扑朔迷离",王琦瑶愿意接受爱,王琦瑶从不接受爱
